@relation portrait_noG-weka.filters.unsupervised.instance.Resample-S1-Z60.0-no-replacement-V-weka.filters.unsupervised.instance.Resample-S1-Z50.0-no-replacement

@attribute X numeric
@attribute Y numeric
@attribute Z numeric
@attribute TP numeric

@data
0.021,-0.132,0.061,5
0.554,-0.808,0.856,5
-0.071,-0.342,0.076,5
-0.064,-0.009,0.001,4
0.191,-0.879,0.031,5
0.137,0.43,-0.017,5
0.629,-0.16,1.389,5
0.07,0.207,-0.026,5
0.024,-0.073,-0.008,5
-0.147,0.083,0.017,5
0.11,-0.112,-0.012,5
-0.104,-0.56,0.061,5
-0.249,-0.104,-0.037,5
-0.093,0.244,-0.059,6
-0.647,-0.188,-0.05,5
0.277,0.44,-0.669,5
0.651,-0.162,0.003,5
-0.1,-0.067,0.035,5
-0.257,-0.149,-0.167,5
0.148,0.209,-0.212,5
-0.061,0.425,0.394,5
0,0.037,0.017,5
0.187,0.215,0.165,5
-0.04,-0.085,0.1,5
-0.003,0.416,0.034,5
-0.18,0.216,-0.028,5
0.111,-0.157,0.412,4
-0.48,0.23,-0.059,5
-0.021,-0.411,0.01,4
-0.021,0.077,-0.027,5
-0.192,-0.046,0.01,5
0.014,0.199,0.12,5
-0.382,-0.123,0.025,5
-0.198,0.358,-2.965,5
0.003,0.01,0.03,5
-0.272,0.122,-0.055,5
-0.578,-1.177,2.399,6
-0.139,-0.492,-0.001,5
0.318,0.325,-0.04,5
-0.417,-0.665,0.074,5
-0.373,-0.477,0.426,5
-0.781,-0.013,-0.49,4
-0.017,-0.136,0.232,5
0.289,-0.561,1.048,5
-0.034,0.033,0.012,5
0.066,0.349,-0.332,4
0.924,-0.528,0.024,5
-0.588,0.111,-0.623,5
-0.285,0.26,0.053,4
-0.363,-0.219,0.016,5
0.099,0.008,-0.029,5
-0.14,0.359,0.061,5
-0.35,0.169,-0.074,5
-0.117,-0.744,0.021,5
0.376,0.797,-0.012,5
-0.015,0.186,0.504,5
-0.366,-0.637,-0.117,6
-0.681,-0.294,0.699,5
-0.54,-0.015,-0.093,5
0.463,-1.063,1.014,4
-0.327,0.044,0.736,5
0.356,-0.334,0.612,4
0.728,0.461,0.007,5
-0.526,-0.459,0.368,5
0.047,0.238,-0.044,5
0.438,0.238,0.059,5
0.122,0,-0.155,4
-0.335,0.247,-0.089,5
0.051,-0.082,0.027,5
-0.183,-0.569,0.282,5
-0.505,0.228,-0.101,5
-0.207,-0.02,-0.011,5
0.36,-0.104,0.026,5
-0.359,-0.131,-0.968,4
-0.282,0.024,-0.296,5
-0.202,0.613,-0.07,5
0.177,0.481,-0.006,5
-0.144,-0.243,0.081,5
-0.013,0.096,0,5
-0.453,0.008,-1.01,5
0.025,0.314,-0.032,5
0.14,0.015,0.077,5
-0.297,-0.455,0.028,5
0.059,-0.034,-0.035,5
0.031,0.302,0.018,5
0.339,-0.091,0.151,5
0.215,0.257,0.032,5
0.29,-0.338,0,5
-0.591,-0.517,0.547,5
-0.784,-1.271,2.731,5
-0.377,-0.094,-0.034,5
-0.834,-0.246,-0.54,5
-0.778,-0.935,0.219,5
0.296,0.044,0.035,5
0.117,-0.047,0.03,5
0.731,-0.038,-0.016,5
0.123,-0.124,0.011,5
0.697,0.207,1.05,5
-0.12,0.384,-0.007,5
-0.193,0.109,-0.021,5
0.027,0.205,0.043,5
0.155,-0.141,0.167,5
0.06,0.077,0.017,5
-0.114,0.003,0.03,5
-0.432,0.207,-0.025,5
0.186,-0.601,0.008,5
-0.066,0.285,0.034,5
0.433,-0.046,-0.144,5
-0.794,-0.166,0.13,5
0.242,0.21,-0.023,5
-0.826,-0.529,0.825,4
0.394,0.657,-0.301,5
-0.331,0.012,-1.084,6
0.029,-1.516,2.67,5
0.371,-0.374,-0.024,5
-0.528,-0.623,-0.094,5
0.037,0.083,0.032,5
-0.476,0.115,-0.019,6
-0.128,0.158,-0.005,5
-0.114,-0.176,-0.046,5
0.131,0.41,-0.046,5
0.047,-0.103,0.02,5
-0.361,-0.069,-0.047,5
-0.205,0.037,-0.001,5
0.177,-0.125,0.096,5
-0.141,0.059,0.047,5
-0.146,-0.407,0.715,4
-0.085,-0.176,0,5
0.072,-0.34,-0.004,5
0.057,0.494,0.116,5
-0.196,-0.05,-0.06,5
-0.511,-1.565,3.546,5
-0.73,0.321,-1.067,5
0.075,0.072,0.227,5
0.225,0.012,-0.019,5
-0.039,-0.026,-0.005,5
0.111,0.816,-1.681,4
-0.012,-0.047,-0.267,5
-0.207,-0.473,0.021,5
0.467,0.015,-0.021,5
-0.07,-0.102,0.291,5
-1.43,-1.532,1.946,4
-0.006,-0.078,0.085,5
0.857,0.387,-0.5,5
-0.273,0.035,0.061,5
0.254,-0.171,0.02,5
-0.064,0.253,-0.008,5
0.14,-0.045,0.606,5
1.255,0.286,0.605,5
-0.124,0.086,-0.043,5
-0.088,-0.33,0.012,5
0.304,-0.291,-0.14,5
-0.191,-0.109,0.053,5
0.229,0.293,-2.038,5
0.144,-0.015,0.039,5
0.276,0.529,-0.265,5
0.55,-0.069,-0.033,6
0.195,-0.172,0.247,5
0.067,-0.482,0.416,5
0.69,-0.367,-0.033,5
0.342,0.447,1.169,5
0.35,0.21,0.047,5
-0.497,0.182,-1.124,5
0.064,0.048,0.277,5
0.247,0.401,0.015,5
0.397,0.159,-0.02,5
0.189,-0.049,-0.868,5
0.195,0.689,0.126,4
-0.254,-0.054,0.017,4
0.113,0.248,0.217,5
0.032,0.437,-0.047,5
-0.123,0.063,0.331,5
-0.028,0.147,0.868,5
0.195,-0.11,0.115,5
-0.05,0.198,0.015,5
0.172,0.054,-0.018,5
-0.249,-0.405,0.38,5
-0.368,-0.272,-0.018,5
0.088,0.045,0.034,5
-0.074,0.089,-0.021,6
