@relation portrait_noG-weka.filters.unsupervised.instance.Resample-S1-Z60.0-no-replacement

@attribute X numeric
@attribute Y numeric
@attribute Z numeric
@attribute TP numeric

@data
0.64,-0.098,0.008,5
0.245,0.255,0.038,5
0.141,0.452,-0.035,5
-0.192,-0.25,0.006,5
-0.145,0.029,0.022,5
-0.327,0.02,-0.001,6
0.354,-0.742,0.033,5
0.168,0.534,-0.157,5
-0.014,0.447,-0.002,5
-0.389,-0.129,-0.39,5
-0.102,0.107,-0.025,5
0.364,0.254,-0.035,5
-0.323,-0.109,0.128,5
0.077,-0.125,0.005,5
0.271,-0.12,0.037,6
0.182,0.36,-0.028,5
0.239,0.237,-0.001,5
0.152,0.011,0.037,5
-0.232,-0.036,-0.01,5
0.193,-0.035,-0.011,5
0.062,0.141,0.09,5
0.237,-0.186,0.052,5
0.216,0.711,0.238,5
-0.582,-0.48,-0.803,5
-0.239,0.338,-1.795,5
-0.124,0.519,-0.328,5
0.115,0.144,-0.086,5
-0.122,-0.156,0.023,5
0.288,-0.033,0.177,5
-0.212,0.528,-0.013,5
0.459,-0.137,-0.395,5
-0.478,0.188,-0.128,5
0.97,0.151,-0.015,5
-0.25,-0.026,0.047,5
0.218,0.413,0.182,5
0.855,0.302,-0.011,5
0.427,0.173,0.096,5
0.149,0.383,-0.059,5
0.56,-0.6,-0.06,4
0.063,-0.102,0.024,5
0.626,-0.571,0.013,5
0.055,-0.165,0.138,5
0.086,0.679,-2.701,5
-0.807,0.081,-1.007,4
0.487,0.153,-0.047,5
-0.117,0.034,0.061,5
-0.22,0.507,-2.725,5
0.017,-0.219,0.075,5
-0.081,-0.522,0.166,5
-0.269,0.108,1.486,5
-0.737,-0.356,-2.041,5
-0.202,0.141,-0.461,5
1.061,0.373,1.081,5
0.036,0.119,-0.245,5
0.101,-0.279,-0.011,5
-0.208,0.062,1.337,5
0.073,-0.061,0.017,5
-0.178,-0.213,0.179,5
-0.036,-0.896,0.466,5
0.24,0.516,-0.014,5
-0.197,-0.172,-0.045,5
-0.145,0.197,-0.067,5
0.243,-0.258,-0.004,5
0.083,0.541,-0.041,6
0.535,-0.288,-0.008,5
-0.04,0.011,-0.003,5
-0.481,0.234,-0.134,5
0.049,-0.337,0.072,5
-0.475,-0.936,1.588,5
0.025,-0.255,0.003,5
0.316,0.007,0.828,5
0.083,0.547,0.017,5
0.343,0.109,-0.15,5
-0.074,0.234,-0.009,5
0.219,0.087,0.002,5
0.381,0.522,0.014,5
-0.298,-0.16,-0.015,5
0.17,0,-0.037,5
-0.243,0.171,-0.047,5
0.391,-0.045,0.057,5
0.524,0.44,-0.021,5
0.008,-0.029,-0.024,5
-0.208,-0.779,1.547,5
-0.466,0.325,-0.087,5
0.085,-0.109,-0.006,5
-0.625,0.549,-0.67,5
-0.43,0.123,-0.977,5
-0.344,-0.012,-0.046,5
-0.686,0.173,-0.252,5
-0.078,-0.015,0.043,5
0.319,-0.207,-0.026,5
-0.286,0.164,-0.002,5
0.427,-0.154,0.52,5
-0.102,0.04,-0.239,5
0.376,0.812,-1.296,4
0.089,-0.287,-0.033,5
0.226,0.075,-0.014,5
0.055,-0.035,-0.002,5
0.005,-0.827,0.384,5
0.154,0.087,0.052,5
-0.184,-1.046,0.58,5
-0.63,-0.076,-1.698,5
0.091,0.113,0.048,5
-1.609,-1.444,1.211,5
0.008,-0.009,0.086,5
0.416,-0.054,-0.225,5
0.054,-0.146,0.013,5
0.044,-0.034,0.035,4
0.026,0.083,0.445,5
-0.184,0.546,-0.036,4
0.473,-0.609,0.02,5
-0.166,0.3,1.808,5
0.018,-0.311,0.147,6
0.03,-0.023,0.031,5
0.286,0.369,-0.682,5
-0.179,0.204,-0.032,5
-0.676,-0.714,0.803,5
-0.211,-0.297,-0.143,6
0.473,-0.047,-0.542,4
-0.363,-0.102,0.011,5
0.596,-0.172,0.038,5
0.989,-0.001,-0.015,5
0.297,0.01,0.026,5
0.144,0.05,-0.009,5
-0.481,-0.219,-0.666,5
0.164,-0.246,0.053,5
0.432,0.325,0.194,5
0.078,0.428,-1.687,4
-0.381,-0.243,0.357,5
-0.142,0.38,-0.042,5
0.11,0.26,0.874,5
-0.011,0.057,0.009,5
-0.091,-0.101,-0.008,5
0.148,0.106,-0.028,5
-0.045,0.012,0.025,5
0.035,0.106,0.033,5
0.12,-0.501,-0.121,5
-0.117,-0.186,0.002,5
-0.174,-0.213,0.074,6
-0.055,0.108,0.029,5
0.091,-0.27,0.087,5
0.072,-0.167,-0.032,5
0.418,0.024,0.019,5
0.072,0.276,-0.451,5
-0.079,0.319,-0.18,4
0.164,0.398,0.527,6
-0.008,-0.113,0.029,5
-0.158,0.086,-0.003,5
0.136,-0.465,0.176,5
-0.237,-0.04,0.009,5
-0.318,0.846,-0.103,5
0.229,0.093,0.165,5
0.018,-0.23,0.034,5
0.7,0.402,-0.696,5
0.611,-0.698,3.702,6
0.493,-0.108,0.013,5
0.049,-0.045,0.02,5
0.056,0.122,-0.046,5
-0.191,-0.145,-0.009,5
0.057,-0.123,0.004,5
0.599,-0.795,-0.012,5
-0.082,-0.23,0.02,5
-0.345,0.495,-0.184,5
-0.167,0.465,-0.035,5
0.446,-0.53,0.043,5
-0.194,0.227,-0.038,5
-0.394,-0.873,0.258,5
0.031,0.354,0.004,5
-0.676,-0.998,1.879,5
-0.001,-0.266,-0.011,6
-0.134,0.035,-0.042,5
-0.193,0.417,-0.02,5
0.007,0.265,0.023,4
0.739,0.223,-0.017,5
-0.035,0.089,0.021,5
-0.268,-0.449,0.015,5
0.154,-0.033,-0.025,5
0.491,-0.002,0.063,5
0.539,-0.715,0.002,5
-0.069,-0.147,-0.023,5
-0.414,0.111,-0.06,5
0,-0.381,-0.047,5
0.619,0.144,0.009,5
-0.606,0.281,-1.14,5
-0.102,-0.268,-0.019,5
-0.006,0.037,-0.013,5
0.015,-0.51,0.17,5
0.477,0.013,-1.332,5
0.09,0.031,-0.003,5
0.664,-0.168,0.541,5
0.074,0.387,-0.391,6
0.198,0.402,-1.072,5
-0.672,-0.025,-0.069,5
-0.252,-0.005,0.002,5
-0.256,0.608,-0.018,5
0.843,0.337,-0.848,5
0.16,-0.114,-0.015,5
-0.275,-0.263,0.021,6
0.029,-0.154,-0.004,5
0.182,-0.273,0.873,6
-0.06,0.116,0.153,5
-0.177,0.139,0.004,5
0.01,-0.15,0.12,4
-0.141,0.162,-0.044,6
0.074,0.2,-0.036,5
0.1,0.112,0.06,5
0.026,0.088,-0.056,5
0.436,-0.05,0.136,5
0.386,0.117,0.04,5
0.366,-0.008,0.027,5
0.03,0.497,0.006,5
-0.565,-0.407,0.602,5
0.012,0.221,0.03,6
0.027,-0.119,0.002,5
-1.196,-1.137,0.195,5
0.122,0.289,0.99,5
-0.074,-0.084,0.022,6
0.302,-0.169,0.027,5
0.208,0.194,-0.011,5
0.052,0.294,-0.236,5
-0.67,0.099,0.225,6
0.015,-0.158,0.021,5
0.197,0.339,0.066,5
0.292,-0.711,0.444,5
-0.039,0.016,-0.215,5
0.271,0.039,-0.283,5
0.2,0.049,-0.043,4
-0.137,0.006,0.018,5
-0.016,0.085,-0.027,5
0.265,-1.274,0.895,5
-0.473,0.191,-0.068,5
-0.514,0.438,-0.012,5
-0.063,-0.283,0.014,5
0.045,0.026,0.014,5
0.077,-0.041,0.04,5
0.417,0.137,0.328,5
0.02,-0.003,-0.008,5
-1.192,-0.875,0.124,5
0.27,0.438,-0.017,5
-0.014,-0.016,-0.021,5
-0.291,0.785,-0.624,5
0.111,-0.445,0.131,5
0.032,0.121,0.08,5
0.283,0.094,0.031,5
0.211,-0.753,0.35,4
-0.321,-0.107,0.023,5
-0.012,0.086,-0.01,5
0.252,0.302,-0.037,4
0.053,0.24,0.003,5
-0.176,-0.397,-0.098,5
1.657,0.186,-0.144,5
0.339,-0.2,0.091,5
-0.025,-0.372,-0.028,5
-0.083,-0.66,0.231,5
-0.243,-1.089,1.37,5
0.035,0.23,0,5
-0.521,-0.141,-1.184,5
0.139,-0.54,0.078,5
